Voter Name,Voter ID,Father's Name
Ezhil Rajan,EPIC10739,Krishnan Natarajan
Indu Natarajan,EPIC10740,Mani Iyer
Nisha Reddy,EPIC10741,Murugan Reddy
Murali Natarajan,EPIC10742,Suresh Reddy
Nisha Reddy,EPIC10743,Krishnan Reddy
Janaki Natarajan,EPIC10744,Prakash Rajan
Janaki Iyer,EPIC10745,Murugan Reddy
Bala Swamy,EPIC10746,Ramesh Natarajan
Indu Iyer,EPIC10747,Murugan Rajan
Ram Rajan,EPIC10748,Mani Sundaram
Siva Iyer,EPIC10749,Ramesh Natarajan
Lakshmi Kumar,EPIC10750,Ramesh Pillai
Bala Pillai,EPIC10751,Suresh Natarajan
Indu Sundaram,EPIC10752,Mani Iyer
