Voter Name,Voter ID,Father's Name
Gokul Iyer,EPIC11359,Krishnan Pillai
Karthik Swamy,EPIC11360,Ganesh Sundaram
Lakshmi Kumar,EPIC11361,Subramanian Kumar
Lakshmi Iyer,EPIC11362,Suresh Rajan
Ram Rajan,EPIC11363,Ramesh Iyer
Arun Rajan,EPIC11364,Subramanian Kumar
Indu Reddy,EPIC11365,Krishnan Natarajan
Gokul Reddy,EPIC11366,Ganesh Swamy
Nisha Pillai,EPIC11367,Subramanian Natarajan
Lakshmi Rajan,EPIC11368,Krishnan Reddy
Arun Pillai,EPIC11369,Prakash Kumar
Gokul Iyer,EPIC11370,Subramanian Iyer
Indu Pillai,EPIC11371,Prakash Kumar
Hari Kumar,EPIC11372,Ganesh Natarajan
