Voter Name,Voter ID,Father's Name
Ram Pillai,EPIC11970,Murugan Pillai
Bala Swamy,EPIC11971,Mani Pillai
Gokul Natarajan,EPIC11972,Ganesh Natarajan
Karthik Iyer,EPIC11973,Murugan Iyer
Karthik Iyer,EPIC11974,Murugan Reddy
Gokul Swamy,EPIC11975,Suresh Iyer
Lakshmi Swamy,EPIC11976,Ramesh Rajan
Siva Iyer,EPIC11977,Suresh Natarajan
Prasad Pillai,EPIC11978,Suresh Pillai
Murali Sundaram,EPIC11979,Murugan Reddy
Arun Natarajan,EPIC11980,Ganesh Sundaram
Deepa Natarajan,EPIC11981,Krishnan Natarajan
Bala Iyer,EPIC11982,Mani Swamy
Siva Iyer,EPIC11983,Mani Pillai
Siva Iyer,EPIC11984,Ganesh Natarajan
