Voter Name,Voter ID,Father's Name
Nisha Pillai,EPIC11239,Ganesh Pillai
Karthik Kumar,EPIC11240,Subramanian Reddy
Deepa Reddy,EPIC11241,Murugan Reddy
Lakshmi Rajan,EPIC11242,Krishnan Sundaram
Karthik Iyer,EPIC11243,Krishnan Kumar
Deepa Swamy,EPIC11244,Suresh Kumar
Murali Iyer,EPIC11245,Murugan Natarajan
Nisha Sundaram,EPIC11246,Ramesh Natarajan
Nisha Reddy,EPIC11247,Prakash Sundaram
Ezhil Sundaram,EPIC11248,Prakash Rajan
Bala Swamy,EPIC11249,Subramanian Sundaram
Lakshmi Sundaram,EPIC11250,Mani Natarajan
Murali Sundaram,EPIC11251,Murugan Reddy
Hari Sundaram,EPIC11252,Subramanian Pillai
Karthik Iyer,EPIC11253,Prakash Rajan
