Voter Name,Voter ID,Father's Name
Indu Reddy,EPIC10288,Prakash Swamy
Janaki Rajan,EPIC10289,Murugan Kumar
Indu Swamy,EPIC10290,Ganesh Swamy
Indu Swamy,EPIC10291,Ramesh Pillai
Indu Swamy,EPIC10292,Suresh Pillai
Lakshmi Iyer,EPIC10293,Prakash Swamy
Karthik Pillai,EPIC10294,Suresh Sundaram
Janaki Kumar,EPIC10295,Murugan Pillai
Nisha Reddy,EPIC10296,Ganesh Rajan
Indu Pillai,EPIC10297,Krishnan Iyer
Siva Natarajan,EPIC10298,Ganesh Kumar
Indu Kumar,EPIC10299,Subramanian Pillai
Indu Pillai,EPIC10300,Prakash Rajan
Prasad Sundaram,EPIC10301,Mani Sundaram
Hari Reddy,EPIC10302,Krishnan Rajan
