Voter Name,Voter ID,Father's Name
Deepa Kumar,EPIC10541,Suresh Pillai
Murali Pillai,EPIC10542,Ganesh Natarajan
Bala Kumar,EPIC10543,Suresh Swamy
Karthik Sundaram,EPIC10544,Ramesh Sundaram
Lakshmi Rajan,EPIC10545,Suresh Sundaram
Prasad Pillai,EPIC10546,Subramanian Natarajan
Ram Rajan,EPIC10547,Ganesh Kumar
Ezhil Swamy,EPIC10548,Subramanian Pillai
Janaki Rajan,EPIC10549,Subramanian Iyer
Ram Natarajan,EPIC10550,Murugan Reddy
Arun Swamy,EPIC10551,Subramanian Kumar
Ram Kumar,EPIC10552,Mani Reddy
Janaki Natarajan,EPIC10553,Prakash Pillai
Karthik Reddy,EPIC10554,Murugan Kumar
