Voter Name,Voter ID,Father's Name
Karthik Reddy,EPIC12275,Subramanian Rajan
Arun Reddy,EPIC12276,Suresh Natarajan
Nisha Natarajan,EPIC12277,Murugan Kumar
Siva Kumar,EPIC12278,Ganesh Rajan
Chitra Rajan,EPIC12279,Mani Sundaram
Chitra Swamy,EPIC12280,Mani Natarajan
Gokul Natarajan,EPIC12281,Krishnan Rajan
Lakshmi Reddy,EPIC12282,Suresh Reddy
Murali Reddy,EPIC12283,Murugan Pillai
Indu Pillai,EPIC12284,Murugan Kumar
Bala Natarajan,EPIC12285,Murugan Iyer
Nisha Natarajan,EPIC12286,Krishnan Swamy
Chitra Pillai,EPIC12287,Ramesh Iyer
Indu Sundaram,EPIC12288,Mani Swamy
