Voter Name,Voter ID,Father's Name
Chitra Swamy,EPIC11884,Prakash Natarajan
Nisha Rajan,EPIC11885,Subramanian Sundaram
Ezhil Reddy,EPIC11886,Subramanian Sundaram
Ram Kumar,EPIC11887,Subramanian Reddy
Ram Swamy,EPIC11888,Krishnan Natarajan
Prasad Sundaram,EPIC11889,Subramanian Swamy
Hari Kumar,EPIC11890,Prakash Rajan
Siva Pillai,EPIC11891,Ramesh Pillai
Lakshmi Kumar,EPIC11892,Subramanian Reddy
Janaki Rajan,EPIC11893,Krishnan Sundaram
Siva Natarajan,EPIC11894,Subramanian Rajan
Bala Rajan,EPIC11895,Prakash Iyer
Prasad Reddy,EPIC11896,Mani Pillai
